ko_id,ko_name,n_cells,fc_1-2,pval
KO:K11446,[histone H3]-trimethyl-L-lysine4 demethylase [EC:1.14.11.67],2125,-2.996335,7.406022260167523e-141
KO:K03879,NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2],3357,-2.9926414,1.1649858597370328e-85
KO:K17887,sorting nexin-25,922,-2.9720278,2.5624934411712002e-171
KO:K03235,elongation factor 3,2471,-2.9696164,4.8423655197449316e-139
KO:K00888,phosphatidylinositol 4-kinase A [EC:2.7.1.67],2545,-2.9613042,3.705548300909189e-128
KO:K03028,26S proteasome regulatory subunit N1,2365,-2.956181,2.2897727992198796e-162
KO:K14572,midasin,3656,-2.9546783,7.468137181778743e-88
KO:K16570,gamma-tubulin complex component 3,2264,-2.9540439,1.2829786992152575e-127
KO:K10777,DNA ligase 4 [EC:6.5.1.1],1831,-2.9415863,5.754440321868802e-159
KO:K07374,tubulin alpha,3169,-2.937461,7.640717108404973e-96
KO:K14311,nuclear pore complex protein Nup188,1202,-2.9344,2.3147645015238174e-166
KO:K03002,DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6],2501,-2.930904,6.30075417810627e-144
KO:K13939,dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:4.1.2.25 2.7.6.3 2.5.1.15],2958,-2.9274006,5.768197109175051e-41
KO:K11262,acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15],2595,-2.9261904,5.46814207697853e-121
KO:K12604,CCR4-NOT transcription complex subunit 1,2746,-2.9219937,8.814694910113422e-118
KO:K03348,anaphase-promoting complex subunit 1,1979,-2.913974,1.5627144336262243e-152
KO:K11665,chromatin-remodeling ATPase INO80 [EC:3.6.4.-],2054,-2.9126372,5.086621743980119e-145
KO:K11849,ubiquitin carboxyl-terminal hydrolase 25 [EC:3.4.19.12],1096,-2.912086,9.472751463332635e-184
KO:K01196,glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33],1731,-2.9096138,2.3244988366371673e-152
KO:K12830,splicing factor 3B subunit 3,2330,-2.9047856,2.2561189322081837e-145
KO:K08874,transformation/transcription domain-associated protein,2712,-2.8982687,1.5306025886897455e-90
KO:K12828,splicing factor 3B subunit 1,2609,-2.8972654,2.0130788469082155e-129
KO:K10392,kinesin family member 1,1999,-2.8955855,5.127907141560407e-147
KO:K14950,manganese-transporting P-type ATPase [EC:7.2.2.-],2368,-2.8946567,3.462914005422841e-141
KO:K10838,xeroderma pigmentosum group C-complementing protein,1545,-2.8923807,1.1962106794242212e-161
KO:K14794,ribosomal RNA-processing protein 12,1799,-2.8917644,2.1589865779753054e-166
KO:K06674,structural maintenance of chromosome 2,2311,-2.8900473,2.420939224854998e-143
KO:K03361,F-box and WD-40 domain protein CDC4,1533,-2.886722,7.44696458973243e-150
KO:K18423,exportin-2 (importin alpha re-exporter),1939,-2.8818681,1.3538695191665684e-160
KO:K11292,transcription elongation factor SPT6,2197,-2.8818467,2.8294382152689166e-137
KO:K14326,regulator of nonsense transcripts 1 [EC:3.6.4.-],2993,-2.8808627,6.617232177700987e-113
KO:K12385,Niemann-Pick C1 protein,2056,-2.8766844,5.004153067006355e-159
KO:K06671,cohesin complex subunit SA-1/2,1614,-2.8761234,3.5821427459527766e-168
KO:K18932,palmitoyltransferase [EC:2.3.1.225],3385,-2.8728635,7.45172512049757e-73
KO:K15628,"ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein",1566,-2.8682537,2.0202605868503034e-171
KO:K10589,ubiquitin-protein ligase E3 C [EC:2.3.2.26],2244,-2.8678606,2.703155840302327e-114
KO:K06672,cohesin loading factor subunit SCC2,1696,-2.8678598,6.109643089737324e-167
KO:K02350,DNA polymerase zeta [EC:2.7.7.7],2533,-2.8677008,1.418231563342653e-124
KO:K17301,coatomer subunit beta,2173,-2.865723,4.0678202662175957e-143
KO:K11373,elongator complex protein 1,1697,-2.8623252,2.2799243078264623e-168
KO:K02365,separase [EC:3.4.22.49],1473,-2.8611643,7.773940404577598e-161
KO:K14521,N-acetyltransferase 10 [EC:2.3.1.-],2291,-2.8598535,1.658763123790378e-142
KO:K02320,DNA polymerase alpha subunit A [EC:2.7.7.7],2509,-2.8570213,5.955092721461867e-138
KO:K14327,regulator of nonsense transcripts 2,2207,-2.8570125,1.924561976748806e-133
KO:K06636,structural maintenance of chromosome 1,2141,-2.856863,6.922587107871801e-147
KO:K06677,condensin complex subunit 1,1961,-2.8545728,3.8302150829323725e-160
KO:K01288,carboxypeptidase D [EC:3.4.16.6],1833,-2.8526306,9.427659887989608e-148
KO:K10661,E3 ubiquitin-protein ligase MARCH6 [EC:2.3.2.27],1449,-2.8516898,1.9909433872976954e-170
KO:K11267,sister chromatid cohesion protein PDS5,1618,-2.8490248,2.6863468918688677e-160
KO:K17906,autophagy-related protein 2,1905,-2.8469849,2.464402990558732e-157
KO:K07513,acetyl-CoA acyltransferase 1 [EC:2.3.1.16],2039,-2.8411257,1.331940951676244e-146
KO:K17065,dynamin 1-like protein [EC:3.6.5.5],2699,-2.8410294,2.5215333363975144e-133
KO:K14310,nuclear pore complex protein Nup205,1577,-2.838838,4.5623314142225e-149
KO:K14544,U3 small nucleolar RNA-associated protein 22,1649,-2.8364782,5.622178106058066e-164
KO:K14290,exportin-1,2256,-2.8355687,8.47062789003663e-152
KO:K11644,paired amphipathic helix protein Sin3a,2198,-2.8345914,1.8980589966250657e-145
KO:K10997,replication fork protection complex subunit Tof1/Swi1,784,-2.8331578,1.5573162982872662e-167
KO:K00914,phosphatidylinositol 3-kinase [EC:2.7.1.137],2461,-2.832938,3.977382399921914e-160
KO:K16196,eukaryotic translation initiation factor 2-alpha kinase 4 [EC:2.7.11.1],2006,-2.8319228,1.7459259004780843e-151
KO:K14550,U3 small nucleolar RNA-associated protein 10,1739,-2.8316026,3.0660620632561034e-153
KO:K14758,casein kinase I homolog HRR25 [EC:2.7.11.1],2405,-2.831351,6.695448812059172e-154
KO:K03021,DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6],2877,-2.83043,8.306309334672022e-135
KO:K05236,coatomer subunit alpha,2393,-2.8286862,5.492270210491947e-144
KO:K07204,regulatory associated protein of mTOR,2019,-2.827555,1.0633068380838756e-141
KO:K14951,cation-transporting P-type ATPase 13A3/4/5 [EC:7.2.2.-],2192,-2.8258343,4.894964507961971e-152
KO:K03062,26S proteasome regulatory subunit T2,2058,-2.8184988,1.5362500642214541e-159
KO:K08838,serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1],1950,-2.8181064,1.4248233086093768e-148
KO:K10625,E3 ubiquitin-protein ligase UBR1 [EC:2.3.2.27],1356,-2.817093,2.40781634158984e-145
KO:K18664,antiviral helicase SLH1 [EC:3.6.4.13],1312,-2.8169863,3.918004749194978e-161
KO:K08052,neurofibromin 1,1355,-2.8120432,2.712504282832089e-155
KO:K00749,"alpha-1,3-glucan synthase [EC:2.4.1.183]",1183,-2.8115766,7.466535588108112e-124
KO:K12619,5'-3' exoribonuclease 2 [EC:3.1.13.-],4051,-2.8065171,8.61224252299012e-64
KO:K02218,casein kinase 1 [EC:2.7.11.1],2900,-2.8046918,3.4701683384267486e-131
KO:K11718,UDP-glucose:glycoprotein glucosyltransferase [EC:2.4.1.-],1885,-2.8044825,6.765399404911393e-154
KO:K10356,myosin I,2118,-2.8008327,1.0693180407153255e-131
KO:K11699,RNA-dependent RNA polymerase [EC:2.7.7.48],1490,-2.7906566,9.860960007420765e-145
KO:K18468,vacuolar protein sorting-associated protein 35,2017,-2.7895494,4.023996668284772e-170
KO:K12767,serine/threonine-protein kinase RIM15 [EC:2.7.11.1],1365,-2.7888103,9.958256324629941e-157
KO:K18442,brefeldin A-inhibited guanine nucleotide-exchange protein,2435,-2.7855275,7.246136643990795e-147
KO:K11838,ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12],2045,-2.783371,5.547742162211696e-144
KO:K15305,vacuole morphology and inheritance protein 14,1808,-2.7826467,4.348667228260839e-155
KO:K10597,ubiquitin conjugation factor E4 B [EC:2.3.2.27],1938,-2.782619,1.4653672950509508e-157
KO:K03347,cullin 1,2198,-2.7811432,1.7129806680126783e-153
KO:K06678,condensin complex subunit 3,1523,-2.7806883,5.488194800418987e-174
KO:K02677,classical protein kinase C alpha type [EC:2.7.11.13],1414,-2.7804008,4.2642354400834754e-163
KO:K15303,aflatoxin B1 aldehyde reductase,2899,-2.7787955,6.041428210673314e-72
KO:K10846,DNA excision repair protein ERCC-5,1945,-2.7777476,2.794586481948614e-159
KO:K10807,ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1],3745,-2.7761884,2.6849418894084773e-102
KO:K03878,NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2],3651,-2.7744455,4.4531108858513995e-76
KO:K11786,ATP-dependent helicase STH1/SNF2 [EC:3.6.4.-],2146,-2.773982,1.4681251849480868e-140
KO:K17800,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",1630,-2.7735095,3.719291373649715e-177
KO:K12879,THO complex subunit 2,2210,-2.7732608,6.033908876719425e-126
KO:K17263,cullin-associated NEDD8-dissociated protein 1,2148,-2.7724695,1.8537054797932695e-148
KO:K15075,DNA repair/transcription protein MET18/MMS19,1290,-2.7672749,1.5410051676966808e-164
KO:K14792,rRNA biogenesis protein RRP5,2250,-2.7668548,2.1773873245867895e-134
KO:K01490,AMP deaminase [EC:3.5.4.6],1931,-2.7653327,4.7291954429902776e-158
KO:K15979,staphylococcal nuclease domain-containing protein 1,1873,-2.7627678,1.2903583075623687e-161
KO:K11824,AP-2 complex subunit alpha,2086,-2.7601676,6.833630974762384e-155
KO:K04348,serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16],2163,-2.7599115,1.263802123303846e-155
KO:K00327,NADPH-ferrihemoprotein reductase [EC:1.6.2.4],2253,-2.7597952,4.282462411033749e-116
KO:K18995,ATP-dependent RNA helicase DHX29 [EC:3.6.4.13],1644,-2.7588964,1.833515778231844e-155
KO:K11681,helicase SWR1 [EC:3.6.4.12],1427,-2.7582684,3.7255676348088496e-157
KO:K03128,transcription initiation factor TFIID subunit 2,1806,-2.7560472,7.687067907235986e-143
KO:K14802,phospholipid-transporting ATPase [EC:7.6.2.1],2736,-2.7557697,1.303886339887404e-124
KO:K15102,"solute carrier family 25 (mitochondrial phosphate transporter), member 3",2272,-2.7552857,1.985434864972079e-153
KO:K13339,peroxin-6,1781,-2.7529073,4.2213790520666367e-150
KO:K10398,kinesin family member 11,1920,-2.7528272,2.060355929654606e-155
KO:K18669,dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1],2143,-2.752776,5.4972223346065917e-151
KO:K11226,mitogen-activated protein kinase kinase [EC:2.7.12.2],909,-2.7508073,5.339293519556881e-167
KO:K11584,serine/threonine-protein phosphatase 2A regulatory subunit B',2259,-2.747053,8.101432634972673e-148
KO:K10591,E3 ubiquitin-protein ligase NEDD4 [EC:2.3.2.26],1763,-2.7458875,2.5365546494841283e-158
KO:K12852,116 kDa U5 small nuclear ribonucleoprotein component,2343,-2.7452269,4.985860118133113e-137
KO:K08832,serine/threonine-protein kinase SRPK3 [EC:2.7.11.1],2425,-2.7446516,1.3431114494463644e-142
KO:K06125,4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39],2162,-2.7437148,1.3367616725648743e-117
KO:K11121,NAD+-dependent protein deacetylase SIR2 [EC:2.3.1.286],1723,-2.7419958,3.4798756987644005e-136
KO:K14833,nucleolar complex protein 2,1677,-2.7398381,1.0537071349314737e-167
KO:K10396,kinesin family member 5,2388,-2.738346,8.745055647375812e-140
KO:K03125,transcription initiation factor TFIID subunit 1 [EC:2.3.1.48 2.7.11.1],1735,-2.7382607,1.2394395472868313e-151
KO:K03509,DNA polymerase eta [EC:2.7.7.7],1426,-2.736611,1.9956560906248969e-178
KO:K13338,peroxin-1,1632,-2.7361553,1.5941616723744238e-148
KO:K11547,kinetochore protein NDC80,1287,-2.7340603,1.967113581991029e-180
KO:K18725,nucleoporin POM152,756,-2.7330968,1.906834259414766e-167
KO:K11498,centromeric protein E,2050,-2.7328742,1.4456530710710604e-150
KO:K08770,ubiquitin C,3819,-2.7325313,2.426811994628656e-67
KO:K01900,succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5],3066,-2.7321024,1.0493833630152358e-51
KO:K02542,DNA replication licensing factor MCM6 [EC:3.6.4.12],2351,-2.7303865,4.2566511921290334e-147
KO:K06628,cell division control protein 45,1597,-2.7292585,4.191037053223557e-168
KO:K10357,myosin V,3146,-2.7259893,6.831977640879208e-100
KO:K06675,structural maintenance of chromosome 4,2364,-2.7256465,1.884367796934762e-128
KO:K14635,ATP-dependent DNA helicase MPH1 [EC:3.6.4.12],1034,-2.7244525,1.3112205804855117e-166
KO:K11229,mitogen-activated protein kinase kinase kinase [EC:2.7.11.25],1193,-2.7234492,8.33138804334012e-158
KO:K14861,nucleolar pre-ribosomal-associated protein 1,1213,-2.7227678,4.994355502631185e-172
KO:K15172,transcription elongation factor SPT5,2262,-2.7219748,3.464547737277712e-125
KO:K07297,adiponectin receptor,1930,-2.7210114,3.798005199582669e-157
KO:K10754,replication factor C subunit 1,2900,-2.7209954,7.242953787170549e-128
KO:K14209,solute carrier family 36 (proton-coupled amino acid transporter),1720,-2.7207956,1.3215997560656026e-151
KO:K02540,DNA replication licensing factor MCM2 [EC:3.6.4.12],2299,-2.7206235,5.281508247346362e-151
KO:K16803,cytoskeleton-associated protein 5,2557,-2.7199848,5.3137135170507185e-123
KO:K04709,very-long-chain ceramide synthase [EC:2.3.1.297],878,-2.7190735,4.3649952217227e-162
KO:K15109,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29",2603,-2.7177522,1.026183438084818e-138
KO:K14788,ribosome biogenesis protein ENP2,1919,-2.717279,1.1223600341450689e-153
KO:K14772,U3 small nucleolar RNA-associated protein 20,2103,-2.7158077,3.5836514089806196e-141
KO:K18443,golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,1960,-2.7149916,1.6834982132984206e-141
KO:K11839,ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12],2790,-2.7131586,1.6840816015446337e-160
KO:K06185,"ATP-binding cassette, subfamily F, member 2",2062,-2.712217,1.9233783875303223e-151
KO:K05285,GPI ethanolamine phosphate transferase 1 [EC:2.7.-.-],1355,-2.711885,8.802125579301617e-166
KO:K03033,26S proteasome regulatory subunit N3,1821,-2.7092235,4.631529060333276e-162
KO:K03032,26S proteasome regulatory subunit N2,2585,-2.7085176,1.9283603710596118e-110
KO:K17267,coatomer subunit gamma,2066,-2.7078366,1.081889102508114e-146
KO:K08852,serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-],1775,-2.707511,1.7622483939320185e-146
KO:K11806,DDB1- and CUL4-associated factor 13,1926,-2.7066927,6.160860974896951e-145
KO:K10706,senataxin [EC:3.6.4.-],2494,-2.7034194,2.545415456531624e-106
KO:K13431,signal recognition particle receptor subunit alpha,1862,-2.7027557,1.2193065597385034e-164
KO:K10401,kinesin family member 18/19,2150,-2.7021985,8.61186047036727e-148
KO:K15728,phosphatidate phosphatase LPIN [EC:3.1.3.4],1823,-2.7014968,2.9780142687927906e-146
KO:K02154,V-type H+-transporting ATPase subunit a,2636,-2.69737,1.2888039389779685e-122
KO:K14786,protein KRI1,1744,-2.6973248,8.52944662131373e-165
KO:K01102,pyruvate dehydrogenase phosphatase [EC:3.1.3.43],1434,-2.6959472,5.738184955294368e-156
KO:K03178,ubiquitin-activating enzyme E1 [EC:6.2.1.45],3046,-2.6949115,4.4021401546982174e-123
KO:K02210,DNA replication licensing factor MCM7 [EC:3.6.4.12],2346,-2.6936712,3.058237536657021e-151
KO:K03252,translation initiation factor 3 subunit C,2032,-2.6927018,2.0802429153059441e-147
KO:K06111,exocyst complex component 4,869,-2.6921444,9.670037292165585e-165
KO:K11367,chromodomain-helicase-DNA-binding protein 1 [EC:3.6.4.12],1995,-2.6921191,1.302149910228049e-113
KO:K15165,"mediator of RNA polymerase II transcription subunit 13, fungi type",680,-2.6916938,3.6292057022687234e-170
KO:K09486,hypoxia up-regulated 1,2247,-2.6908627,1.0979024263940698e-152
KO:K16578,CLIP-associating protein 1/2,1492,-2.6891356,1.2168587319995761e-157
KO:K18748,protein SSD1,1171,-2.6888056,8.744329680856343e-160
KO:K15071,recyclin-1,787,-2.6875274,2.5966156920866064e-162
KO:K08736,DNA mismatch repair protein MSH3,1546,-2.6866965,5.317878102750535e-151
KO:K17275,plastin-1,1759,-2.6866844,2.473341004600955e-162
KO:K14402,cleavage and polyadenylation specificity factor subunit 2,1747,-2.6865368,1.6604113238825964e-160
KO:K05288,GPI ethanolamine phosphate transferase 3 subunit O [EC:2.7.-.-],1758,-2.6863532,3.4314416258568295e-158
KO:K19001,ATP-dependent DNA helicase,2094,-2.685591,2.579319148814034e-144
KO:K15163,"mediator of RNA polymerase II transcription subunit 12, fungi type",716,-2.6854396,8.190201866794582e-177
KO:K14832,ribosome biogenesis protein MAK21,2092,-2.6840682,5.677179599319119e-139
KO:K16073,magnesium transporter,907,-2.683877,6.082314996780642e-169
KO:K05857,"phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]",1697,-2.6816664,5.848262788797597e-161
KO:K16369,phosphatidylethanolamine N-methyltransferase [EC:2.1.1.17],977,-2.6813066,2.4039207733789137e-147
KO:K17541,SCY1-like protein 2,1392,-2.6797628,6.055407305820432e-154
KO:K10352,myosin heavy chain 9/10/11/14,3020,-2.679609,2.310835879277589e-84
KO:K02209,DNA replication licensing factor MCM5 [EC:3.6.4.12],2161,-2.6794894,6.188695128073528e-157
KO:K12860,pre-mRNA-splicing factor CDC5/CEF1,1919,-2.6782691,1.0223180064012988e-151
KO:K02178,checkpoint serine/threonine-protein kinase [EC:2.7.11.1],1406,-2.6780095,2.11532268175951e-158
KO:K05546,"mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]",2145,-2.6753087,2.834079218668211e-154
KO:K03515,DNA repair protein REV1 [EC:2.7.7.-],1753,-2.6746159,2.686828300543553e-134
KO:K12867,pre-mRNA-splicing factor SYF1,2066,-2.6736624,4.179939056497934e-153
KO:K02126,F-type H+-transporting ATPase subunit a,4077,-2.6733773,1.9496462007674807e-78
KO:K14780,ATP-dependent RNA helicase DHX37/DHR1 [EC:3.6.4.13],2126,-2.6725464,5.176182388038886e-143
KO:K13123,G patch domain-containing protein 1,1387,-2.6723375,6.397557069986011e-161
KO:K14570,RNA exonuclease 1 [EC:3.1.-.-],1612,-2.6716793,1.8187647638857034e-152
KO:K08734,DNA mismatch repair protein MLH1,1811,-2.671489,2.0686471163791403e-163
KO:K09495,T-complex protein 1 subunit gamma,2392,-2.67132,2.572581489429863e-145
KO:K12818,ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13],2898,-2.6711555,2.6609628506589035e-116
KO:K01930,folylpolyglutamate synthase [EC:6.3.2.17],1800,-2.6706548,3.311141052783524e-147
KO:K11673,actin-related protein 8,1013,-2.6705585,2.366950894853107e-168
KO:K12591,exosome complex exonuclease RRP6 [EC:3.1.13.-],1796,-2.6694791,2.9669493341264386e-168
KO:K18670,dual specificity protein kinase YAK1 [EC:2.7.12.1],1624,-2.6673982,4.047659073966783e-164
KO:K08773,RalA-binding protein 1,1090,-2.667011,1.7990544150284019e-169
KO:K13103,tuftelin-interacting protein 11,1563,-2.6666236,3.162184731750314e-149
KO:K17605,serine/threonine-protein phosphatase 2A activator,1600,-2.6665735,4.2394706161998514e-166
KO:K01410,mitochondrial intermediate peptidase [EC:3.4.24.59],1603,-2.6657238,7.337472759970562e-150
KO:K02332,DNA polymerase gamma 1 [EC:2.7.7.7],1539,-2.665432,1.9225671635272192e-149
KO:K12396,AP-3 complex subunit delta,1814,-2.664874,2.4505330810253784e-151
KO:K11835,ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12],2833,-2.6634603,1.8333970520963693e-136
KO:K03061,26S proteasome regulatory subunit T1,2171,-2.6631362,4.924107443814683e-146
KO:K14293,importin subunit beta-1,1986,-2.6605704,7.379393464300163e-150
KO:K14309,nuclear pore complex protein Nup93,1174,-2.660543,6.569095442059213e-166
KO:K11649,SWI/SNF related-matrix-associated actin-dependent regulator of chromatin subfamily C,1639,-2.6596875,1.607642699493803e-150
KO:K12041,"solute carrier family 9 (sodium/hydrogen exchanger), member 6/7",1599,-2.6592274,7.965408996413066e-171
KO:K02541,DNA replication licensing factor MCM3 [EC:3.6.4.12],2216,-2.6578135,1.9578868958590326e-149
KO:K12855,pre-mRNA-processing factor 6,2337,-2.6570723,9.421619425968491e-138
KO:K06653,CDK inhibitor PHO81,1075,-2.6570468,2.4761904938312093e-144
KO:K10866,DNA repair protein RAD50 [EC:3.6.-.-],2091,-2.6569843,3.332633333494506e-138
KO:K08741,DNA mismatch repair protein MSH5,1452,-2.6567378,5.529288903776127e-159
KO:K02328,DNA polymerase delta subunit 2,1529,-2.6556716,2.699399831063812e-157
KO:K12825,splicing factor 3A subunit 1,1851,-2.6555967,3.729422235052861e-139
KO:K01282,dipeptidyl aminopeptidase B [EC:3.4.14.-],782,-2.6550813,2.0686471163791403e-163
KO:K17600,vacuolar protein sorting-associated protein 54,1793,-2.6550655,6.899132171939268e-156
KO:K15082,DNA repair protein RAD7,729,-2.6528661,3.3045915714412507e-164
KO:K11137,telomere length regulation protein,1147,-2.6526136,1.2870254926773357e-176
KO:K02220,G2/mitotic-specific cyclin 1,992,-2.6522121,1.0496342922538904e-151
KO:K08740,DNA mismatch repair protein MSH4,1356,-2.6513805,3.0739514295983694e-169
KO:K12869,crooked neck,2135,-2.6502056,1.9916267496680134e-152
KO:K15196,transcription factor IIIB 90 kDa subunit,1789,-2.6501374,9.952030386175589e-158
KO:K00670,N-alpha-acetyltransferase 30 [EC:2.3.1.256],2695,-2.6491752,1.8364838672680474e-110
KO:K10256,omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22],2391,-2.6485553,4.21533183620203e-143
KO:K02331,DNA polymerase phi [EC:2.7.7.7],1602,-2.648422,8.359793174160644e-166
KO:K15732,RNA polymerase II subunit A C-terminal domain phosphatase [EC:3.1.3.16],1313,-2.6470582,6.658170742113788e-178
KO:K14776,ATP-dependent RNA helicase DDX10/DBP4 [EC:3.6.4.13],1986,-2.6463163,8.817533693648664e-152
KO:K11228,mitogen-activated protein kinase kinase kinase [EC:2.7.11.25],1593,-2.645432,8.714470391510084e-156
KO:K03257,translation initiation factor 4A,3148,-2.6449776,3.7268256666638924e-130
KO:K13754,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 6",1765,-2.644899,1.677638887761097e-148
KO:K09489,heat shock 70kDa protein 4,2111,-2.6447177,8.725425176363828e-139
KO:K17086,transmembrane 9 superfamily member 2/4,2205,-2.6434832,1.1515696971799989e-141
KO:K10736,minichromosome maintenance protein 10,1105,-2.6428397,1.7643862805387243e-166
KO:K03456,serine/threonine-protein phosphatase 2A regulatory subunit A,2204,-2.6420574,2.067195269030938e-153
KO:K01228,mannosyl-oligosaccharide glucosidase [EC:3.2.1.106],1686,-2.6415744,1.4730533747173248e-138
KO:K12815,pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13],2560,-2.6398804,1.1810694094081602e-125
KO:K14408,cleavage stimulation factor subunit 3,1442,-2.639488,7.197500806444478e-153
KO:K05853,P-type Ca2+ transporter type 2A [EC:7.2.2.10],1943,-2.6392822,4.154816207955409e-132
KO:K08735,DNA mismatch repair protein MSH2,1942,-2.638811,3.465555055970964e-154
KO:K15361,WD repeat-containing protein 48,1384,-2.6386871,1.7217757081817164e-157
KO:K15292,syntaxin-binding protein 1,1658,-2.6378663,3.4771325675559227e-159
KO:K01381,saccharopepsin [EC:3.4.23.25],1256,-2.637323,9.285641038329072e-157
